ID,Title,Rating,tags
2587,Rearrange-Array-to-Maximize-Prefix-Score,1336,Array;Greedy;Sorting;Prefix Sum
2506,Count-Pairs-Of-Similar-Strings,1335,Array;Hash Table;String;Bit Manipulation;Counting
938,Range-Sum-of-BST,1335,Tree;Depth-First Search;Binary Search Tree;Binary Tree
1409,Queries-on-a-Permutation-With-Key,1334,Array;Binary Indexed Tree;Simulation
2126,Destroying-Asteroids,1334,Array;Greedy;Sorting
3242,Design-Neighbor-Sum-Service,1334,Array;Hash Table;Design;Matrix;Simulation
888,Fair-Candy-Swap,1334,Array;Hash Table;Binary Search;Sorting
2270,Number-of-Ways-to-Split-Array,1334,Array;Prefix Sum
1805,Number-of-Different-Integers-in-a-String,1333,Hash Table;String
2554,Maximum-Number-of-Integers-to-Choose-From-a-Range-I,1333,Array;Hash Table;Binary Search;Greedy;Sorting
2181,Merge-Nodes-in-Between-Zeros,1333,Linked List;Simulation
2679,Sum-in-a-Matrix,1333,Array;Sorting;Heap (Priority Queue);Matrix;Simulation
1128,Number-of-Equivalent-Domino-Pairs,1332,Array;Hash Table;Counting
2274,Maximum-Consecutive-Floors-Without-Special-Floors,1332,Array;Sorting
1471,The-k-Strongest-Values-in-an-Array,1332,Array;Two Pointers;Sorting
2259,Remove-Digit-From-Number-to-Maximize-Result,1331,String;Greedy;Enumeration
2373,Largest-Local-Values-in-a-Matrix,1331,Array;Matrix
1347,Minimum-Number-of-Steps-to-Make-Two-Strings-Anagram,1330,Hash Table;String;Counting
3090,Maximum-Length-Substring-With-Two-Occurrences,1329,Hash Table;String;Sliding Window
1324,Print-Words-Vertically,1328,Array;String;Simulation
2396,Strictly-Palindromic-Number,1328,Math;Two Pointers;Brainteaser
1812,Determine-Color-of-a-Chessboard-Square,1328,Math;String
1086,High-Five,1327,Array;Hash Table;Sorting;Heap (Priority Queue)
1476,Subrectangle-Queries,1326,Array;Design;Matrix
3075,Maximize-Happiness-of-Selected-Children,1325,Array;Greedy;Sorting
2073,Time-Needed-to-Buy-Tickets,1325,Array;Queue;Simulation
1344,Angle-Between-Hands-of-a-Clock,1324,Math
1752,Check-if-Array-Is-Sorted-and-Rotated,1324,Array
2095,Delete-the-Middle-Node-of-a-Linked-List,1324,Linked List;Two Pointers
3014,Minimum-Number-of-Pushes-to-Type-Word-I,1324,Math;String;Greedy
1603,Design-Parking-System,1324,Design;Simulation;Counting
2660,Determine-the-Winner-of-a-Bowling-Game,1324,Array;Simulation
1925,Count-Square-Sum-Triples,1323,Math;Enumeration
3084,Count-Substrings-Starting-and-Ending-with-Given-Character,1323,Math;String;Counting
3483,Unique-3-Digit-Even-Numbers,1323,
2491,Divide-Players-Into-Teams-of-Equal-Skill,1323,Array;Hash Table;Two Pointers;Sorting
1614,Maximum-Nesting-Depth-of-the-Parentheses,1322,String;Stack
1936,Add-Minimum-Number-of-Rungs,1322,Array;Greedy
2446,Determine-if-Two-Events-Have-Conflict,1322,Array;String
1694,Reformat-Phone-Number,1321,String
1582,Special-Positions-in-a-Binary-Matrix,1321,Array;Matrix
2079,Watering-Plants,1320,Array;Simulation
999,Available-Captures-for-Rook,1317,Array;Matrix;Simulation
2130,Maximum-Twin-Sum-of-a-Linked-List,1317,Linked List;Two Pointers;Stack
1313,Decompress-Run-Length-Encoded-List,1317,
2221,Find-Triangular-Sum-of-an-Array,1317,Array;Math;Simulation;Combinatorics
1343,Number-of-Sub-arrays-of-Size-K-and-Average-Greater-than-or-Equal-to-Threshold,1317,
2225,Find-Players-With-Zero-or-One-Losses,1316,Array;Hash Table;Sorting;Counting
2348,Number-of-Zero-Filled-Subarrays,1315,
1180,Count-Substrings-with-Only-One-Distinct-Letter,1315,Math;String
1629,Slowest-Key,1315,Array;String
2109,Adding-Spaces-to-a-String,1315,Array;Two Pointers;String;Simulation
1827,Minimum-Operations-to-Make-the-Array-Increasing,1314,Array;Greedy
2640,Find-the-Score-of-All-Prefixes-of-an-Array,1314,Array;Prefix Sum
2160,Minimum-Sum-of-Four-Digit-Number-After-Splitting-Digits,1314,Math;Greedy;Sorting
3191,Minimum-Operations-to-Make-Binary-Array-Elements-Equal-to-One-I,1311,Array;Bit Manipulation;Queue;Sliding Window;Prefix Sum
3163,String-Compression-III,1311,String
1021,Remove-Outermost-Parentheses,1311,String;Stack
2058,Find-the-Minimum-and-Maximum-Number-of-Nodes-Between-Critical-Points,1310,Linked List
1710,Maximum-Units-on-a-Truck,1309,Array;Greedy;Sorting
2500,Delete-Greatest-Value-in-Each-Row,1309,Array;Sorting;Heap (Priority Queue);Matrix;Simulation
1451,Rearrange-Words-in-a-Sentence,1309,String;Sorting
1897,Redistribute-Characters-to-Make-All-Strings-Equal,1309,Hash Table;String;Counting
2342,Max-Sum-of-a-Pair-With-Equal-Sum-of-Digits,1308,Array;Hash Table;Sorting;Heap (Priority Queue)
2264,Largest-3-Same-Digit-Number-in-String,1308,
3471,Find-the-Largest-Almost-Missing-Integer,1308,Array;Hash Table
1064,Fixed-Point,1307,Array;Binary Search
804,Unique-Morse-Code-Words,1307,Array;Hash Table;String
2085,Count-Common-Words-With-One-Occurrence,1307,Array;Hash Table;String;Counting
1893,Check-if-All-the-Integers-in-a-Range-Are-Covered,1307,Array;Hash Table;Prefix Sum
2022,Convert-1D-Array-Into-2D-Array,1307,Array;Matrix;Simulation
868,Binary-Gap,1307,Bit Manipulation
1984,Minimum-Difference-Between-Highest-and-Lowest-of-K-Scores,1306,Array;Sliding Window;Sorting
2657,Find-the-Prefix-Common-Array-of-Two-Arrays,1304,Array;Hash Table;Bit Manipulation
2697,Lexicographically-Smallest-Palindrome,1303,Two Pointers;String;Greedy
2331,Evaluate-Boolean-Binary-Tree,1303,Tree;Depth-First Search;Binary Tree
783,Minimum-Distance-Between-BST-Nodes,1303,Tree;Depth-First Search;Breadth-First Search;Binary Search Tree;Binary Tree
1338,Reduce-Array-Size-to-The-Half,1303,Array;Hash Table;Greedy;Sorting;Heap (Priority Queue)
1051,Height-Checker,1303,Array;Sorting;Counting Sort
3142,Check-if-Grid-Satisfies-Conditions,1303,Array;Matrix
1266,Minimum-Time-Visiting-All-Points,1302,Array;Math;Geometry
1991,Find-the-Middle-Index-in-Array,1302,Array;Prefix Sum
2243,Calculate-Digit-Sum-of-a-String,1301,String;Simulation
2740,Find-the-Value-of-the-Partition,1301,Array;Sorting
2525,Categorize-Box-According-to-Criteria,1301,Math
806,Number-of-Lines-To-Write-String,1301,Array;String
1646,Get-Maximum-in-Generated-Array,1301,Array;Simulation
1877,Minimize-Maximum-Pair-Sum-in-Array,1301,Array;Two Pointers;Greedy;Sorting
2748,Number-of-Beautiful-Pairs,1301,Array;Hash Table;Math;Counting;Number Theory
1844,Replace-All-Digits-with-Characters,1300,String
1790,Check-if-One-String-Swap-Can-Make-Strings-Equal,1300,Hash Table;String;Counting
3364,Minimum-Positive-Sum-Subarray,1300,Array;Sliding Window;Prefix Sum
2287,Rearrange-Characters-to-Make-Target-String,1299,Hash Table;String;Counting
953,Verifying-an-Alien-Dictionary,1299,Array;Hash Table;String
3396,Minimum-Number-of-Operations-to-Make-Elements-in-Array-Distinct,1299,Array;Hash Table
3349,Adjacent-Increasing-Subarrays-Detection-I,1298,Array
908,Smallest-Range-I,1298,Array;Math
819,Most-Common-Word,1297,Array;Hash Table;String;Counting
2913,Subarrays-Distinct-Element-Sum-of-Squares-I,1297,Array;Hash Table
1598,Crawler-Log-Folder,1297,Array;String;Stack
2224,Minimum-Number-of-Operations-to-Convert-Time,1295,String;Greedy
2717,Semi-Ordered-Permutation,1295,
3477,Fruits-Into-Baskets-II,1295,Array;Binary Search;Segment Tree;Simulation
1539,Kth-Missing-Positive-Number,1295,Array;Binary Search
2815,Max-Pair-Sum-in-an-Array,1295,Array;Hash Table
1769,Minimum-Number-of-Operations-to-Move-All-Balls-to-Each-Box,1294,Array;String;Prefix Sum
2273,Find-Resultant-Array-After-Removing-Anagrams,1294,Array;Hash Table;String;Sorting
1716,Calculate-Money-in-Leetcode-Bank,1294,Math
3115,Maximum-Prime-Difference,1294,Array;Math;Number Theory
2833,Furthest-Point-From-Origin,1294,String;Counting
2545,Sort-the-Students-by-Their-Kth-Score,1294,Array;Sorting;Matrix
3324,Find-the-Sequence-of-Strings-Appeared-on-the-Screen,1293,String;Simulation
1551,Minimum-Operations-to-Make-Array-Equal,1293,Math
2496,Maximum-Value-of-a-String-in-an-Array,1292,Array;String
3271,Hash-Divided-String,1292,String;Simulation
3010,Divide-an-Array-Into-Subarrays-With-Minimum-Cost-I,1291,Array;Sorting;Enumeration
3114,Latest-Time-You-Can-Obtain-After-Replacing-Characters,1290,String;Enumeration
3417,Zigzag-Grid-Traversal-With-Skip,1290,Array;Matrix;Simulation
1859,Sorting-the-Sentence,1290,String;Sorting
2428,Maximum-Sum-of-an-Hourglass,1289,Array;Matrix;Prefix Sum
2190,Most-Frequent-Number-Following-Key-In-an-Array,1289,Array;Hash Table;Counting
3304,Find-the-K-th-Character-in-String-Game-I,1288,
1684,Count-the-Number-of-Consistent-Strings,1288,Array;Hash Table;String;Bit Manipulation;Counting
1403,Minimum-Subsequence-in-Non-Increasing-Order,1288,
